date,turkey_total_generation_in_gwh,population,imports_in_gwh,exports_in_gwh,gross_demand_in_gwh,natural_gas_price_usd_Mmbtu,pib_m_dollar,ratio_dollar_tl,coal_elect_prod_gwh,ng_elect_prod_gwh,thermique_elect_prod_gwh,hidro_elect_prod_gwh,geothermal_elect_prod_gwh,wind_elect_prod_gwh,solar_elect_prod_gwh,geothermal_solar_wind_elect_prod_gwh,roll_mean,roll_std
2011-08-01,20491.721,,561.955,380.167,20673.509000000002,4054,224.11772638882587,1.7162,5853.94,9449.7,15417.280000000002,4387.3,58.6,628.54,0.0,687.14,18523.96825,1449.21389265616
2011-09-01,18897.689,,446.076,357.661,18986.104,3666,206.80189366552122,1.8599,5481.54,9108.6,14701.740000000002,3645.9,56.0,494.04,0.0,550.04,18681.643416666666,1380.805379296398
2011-10-01,18900.534,,425.768,391.516,18934.786,3934,219.45810167912447,1.771,5244.2,9389.0,14775.1,3627.1,50.0,448.3,0.0,498.3,18816.367666666665,1312.8687482303221
2011-11-01,19188.165,,410.291,451.841,19146.615,3550,212.46394690522573,1.8293,5436.6,8975.94,14544.890000000001,4095.24,57.4,490.62,0.0,548.02,19037.347583333332,1091.01825877325
2011-12-01,21133.078,,429.677,472.729,21090.026,2989,206.18583452187238,1.885,6768.84,10053.94,16945.670000000002,3697.0,63.64,426.76,0.0,490.4,19192.191833333334,1242.4846197900692
2012-01-01,21483.904,,388.297,466.073,21406.127999999997,2503,188.90328544638834,1.7773,6723.1,9307.1,16367.2,4582.2,76.54,457.94,0.0,534.48,19332.338083333332,1393.623570990222
2012-02-01,19913.341,,388.721,307.296,19994.766000000003,2616,191.94889327303525,1.7491,6095.9,7145.2,13872.399999999998,5588.1,72.14,380.7,0.0,452.84,19516.043166666666,1314.9499560747133
2012-03-01,20726.703,,415.435,384.256,20757.882,2126,188.3522071382137,1.7825,5854.5,8284.9,14289.6,5950.0,78.0,409.1,0.0,487.1,19639.356916666668,1359.2480111079844
2012-04-01,18182.462,,310.674,238.301,18254.835,2285,219.20507759331898,1.7565,3555.14,6470.3,10120.82,7538.2,71.52,451.94,0.0,523.46,19666.983333333334,1324.114093551297
2012-05-01,18721.461,,395.589,163.391,18953.659,2422,206.33069974420704,1.8661,4857.9,6904.25,11878.099999999999,6481.64,64.81,296.94,0.0,361.75,19772.59275,1196.1349358291307
